,Unnamed: 0,stdWeights,<BH>,var(BH),<A>,var(A),sigma_star,balance
0,0,0.001,0.0,0.0,1.0,0.0,0.01,0.0
1,1,0.0012,0.0,0.0,1.0,0.0,0.011999999999999999,2.1101712835646862e-150
2,2,0.0013,0.0,0.0,1.0,0.0,0.013,7.722323846736764e-233
3,3,0.0015,0.0,0.0,1.0,0.0,0.015,6.647997085004586e-149
4,4,0.0018,0.0,0.0,1.0,0.0,0.018,3.4695623005800756e-49
5,5,0.0021,0.0,0.0,1.0,0.0,0.020999999999999998,8.722256621027188e-11
6,6,0.0024,0.0,0.0,1.0,0.0,0.023999999999999997,1.0000000000000004
7,7,0.0028,0.0,0.0,1.0,0.0,0.027999999999999997,2.4756361644755163e-09
8,8,0.0032,0.0,0.0,1.0,0.0,0.032,5.590098407950298e-18
9,9,0.0037,0.0,0.0,1.0,0.0,0.037,2.2172220611456183e-09
10,10,0.0043,0.0,0.0,1.0,0.0,0.043,1.0000000000000007
11,11,0.005,0.0,0.0,1.0,0.0,0.049999999999999996,0.9999999999999998
12,12,0.0057,0.0,0.0,1.0,0.0,0.057,1.0
13,13,0.0066,0.0,0.0,1.0,0.0,0.06599999999999999,1.0000000000058367
14,14,0.0077,0.0,0.0,1.0,0.0,0.077,1.0000000000000002
15,15,0.0089,0.0,0.0,1.0,0.0,0.089,1.0000000000000002
16,16,0.0103,0.0,0.0,1.0,0.0,0.103,1.0000000000000002
17,17,0.0119,0.0,0.0,1.0,0.0,0.11900000000000001,1.0000000000000002
18,18,0.0138,0.0,0.0,1.0,0.0,0.13799999999999998,0.999999999999572
19,19,0.0159,0.0,0.0,1.0,0.0,0.159,0.9999999996811164
20,20,0.0184,0.0,0.0,1.0,0.0,0.184,0.9999999451367214
21,21,0.0213,0.0,0.0,1.0,0.0,0.213,0.9999973317888424
22,22,0.0247,0.0,0.0,1.0,0.0,0.247,0.9999484713385274
23,23,0.0286,0.0,0.0,1.0,0.0,0.286,0.9995286016839497
24,24,0.033,0.0,0.0,1.0,0.0,0.33,0.9975569151728397
25,25,0.0382,0.0,0.0,1.0,0.0,0.38199999999999995,0.991150161352996
26,26,0.0442,0.0,0.0,1.0,0.0,0.442,0.9763299803271618
27,27,0.0512,0.0,0.0,1.0,0.0,0.512,0.94919521470774
28,28,0.0592,0.0,0.0,1.0,0.0,0.592,0.9088168199188753
29,29,0.0685,0.0,0.0,0.999994,0.0,0.685,0.855669800175008
30,30,0.0792,0.0,0.0,0.999983,0.0,0.792,0.793276474965162
31,31,0.0916,0.0,0.0,0.999919,0.0,0.9159999999999999,0.7250363588131389
32,32,0.106,1.1710463870610238e-06,1.3576361442421902e-10,0.9996234995004996,2.4999975049925105e-07,1.0599999999999998,0.6545217273714535
33,33,0.1226,0.0,0.0,0.998502,0.0,1.226,0.5853057693327921
34,34,0.1419,1.1710463870610238e-06,1.3576361442421904e-10,0.9955695004995004,2.4999975049925105e-07,1.4189999999999998,0.5190165152248792
