,stdWeights,<A>,var(A),<BH>,var(BH)
0,0.001,0.9996000000000008,0.0,0.0,0.0
1,0.0012,0.9996000000000008,0.0,0.0,0.0
2,0.0013,0.9996000000000008,0.0,0.0,0.0
3,0.0015,0.9996000000000008,0.0,0.0,0.0
4,0.0018,0.9996000000000008,0.0,0.0,0.0
5,0.0021,0.9996000000000008,0.0,0.0,0.0
6,0.0024,0.9996000000000008,0.0,0.0,0.0
7,0.0028,0.9996000000000008,0.0,0.0,0.0
8,0.0032,0.9996000000000008,0.0,0.0,0.0
9,0.0037,0.9996000000000008,0.0,0.0,0.0
10,0.0043,0.9996000000000008,0.0,0.0,0.0
11,0.005,0.9996000000000008,0.0,0.0,0.0
12,0.0057,0.9996000000000008,0.0,0.0,0.0
13,0.0066,0.9996000000000008,0.0,0.0,0.0
14,0.0077,0.9996000000000008,0.0,0.0,0.0
15,0.0089,0.9996000000000008,0.0,0.0,0.0
16,0.0103,0.9996000000000008,0.0,0.0,0.0
17,0.0119,0.9996000000000008,0.0,0.0,0.0
18,0.0138,0.9996000000000008,0.0,0.0,0.0
19,0.0159,0.9996000000000008,0.0,0.0,0.0
20,0.0184,0.9996000000000008,0.0,0.0,0.0
21,0.0213,0.9996000000000008,0.0,0.0,0.0
22,0.0247,0.9996000000000008,0.0,0.0,0.0
23,0.0286,0.9995980000000008,0.0,0.0,0.0
24,0.033,0.9995980000000008,0.0,0.0,0.0
25,0.0382,0.9995880000000008,0.0,0.0,0.0
26,0.0442,0.9995620000000004,0.0,0.0,0.0
27,0.0512,0.999468,0.0,0.0,0.0
28,0.0592,0.99929,0.0,0.0,0.0
29,0.0685,0.998814,0.0,0.0,0.0
30,0.0792,0.997626,0.0,0.0,0.0
31,0.0916,0.99494,9.999990019970042e-07,2.3420927741220475e-06,2.6878452956714067e-10
32,0.106,0.9898569990009992,4.999995009985021e-07,1.1710463870610238e-06,1.3576361442421902e-10
33,0.1226,0.980196997002997,1.4999985029955065e-06,3.513139161183071e-06,3.990627454287648e-10
