,stdWeights,<A>,var(A),<BH>,var(BH),sigma_star,balance
0,0.001,1.0,0.0,0.0,0.0,0.01,1.0
1,0.0012,1.0,0.0,0.0,0.0,0.0119999999999999,1.0
2,0.0013,1.0,0.0,0.0,0.0,0.013,1.0
3,0.0015,1.0,0.0,0.0,0.0,0.015,1.0
4,0.0018,1.0,0.0,0.0,0.0,0.018,1.0
5,0.0021,1.0,0.0,0.0,0.0,0.0209999999999999,1.0
6,0.0024,1.0,0.0,0.0,0.0,0.0239999999999999,1.0
7,0.0028,1.0,0.0,0.0,0.0,0.0279999999999999,1.0
8,0.0032,1.0,0.0,0.0,0.0,0.032,1.0
9,0.0037,1.0,0.0,0.0,0.0,0.037,1.0
10,0.0043,1.0,0.0,0.0,0.0,0.043,1.0
11,0.005,1.0,0.0,0.0,0.0,0.0499999999999999,1.0
12,0.0057,1.0,0.0,0.0,0.0,0.057,1.0
13,0.0066,1.0,0.0,0.0,0.0,0.0659999999999999,1.0
14,0.0077,1.0,0.0,0.0,0.0,0.077,1.0
15,0.0089,1.0,0.0,0.0,0.0,0.089,1.0
16,0.0103,1.0,0.0,0.0,0.0,0.103,1.0
17,0.0119,1.0,0.0,0.0,0.0,0.119,1.0
18,0.0138,1.0,0.0,0.0,0.0,0.1379999999999999,0.999999999999572
19,0.0159,1.0,0.0,0.0,0.0,0.159,0.999999999681116
20,0.0184,1.0,0.0,0.0,0.0,0.184,0.9999999451367212
21,0.0213,1.0,0.0,0.0,0.0,0.213,0.999997331788812
22,0.0247,1.0,0.0,0.0,0.0,0.247,0.9999484713385688
23,0.0286,1.0,0.0,0.0,0.0,0.286,0.9995286016839464
24,0.033,1.0,0.0,0.0,0.0,0.33,0.9975569151728396
25,0.0382,1.0,0.0,0.0,0.0,0.3819999999999999,0.991150161352996
26,0.0442,1.0,0.0,0.0,0.0,0.442,0.976329980327162
27,0.0512,1.0,0.0,0.0,0.0,0.512,0.9491952147077408
28,0.0592,1.0,0.0,0.0,0.0,0.592,0.9088168199188752
29,0.0685,1.0,0.0,0.0,0.0,0.685,0.855669800175008
30,0.0792,0.99999,0.0,0.0,0.0,0.792,0.7932764749651616
31,0.0916,0.9999,0.0,0.0,0.0,0.916,0.7250363588131385
